#ITERACIONES NEWTON
X0	iteraciones	Xfinal
-6		2		-4.5642
-5.9		4		-4.5641
-5.8		6		-4.5641
-5.7		8		-4.5641
-5.6		10		-4.5641
-5.5		12		-4.5641
-5.4		14		-4.5641
-5.3		16		-4.5641
-5.2		18		-4.5641
-5.1		20		-4.5641
-5		22		-4.5641
-4.9		24		-4.5641
-4.8		25		-4.5641
-4.7		26		-4.5641
-4.6		27		-4.5641
-4.5		28		-4.5641
-4.4		29		-4.5641
-4.3		30		-4.5642
-4.2		32		-4.5641
-4.1		34		-4.5641
-4		36		-4.5641
-3.9		38		-4.5641
-3.8		40		-4.5641
-3.7		42		-4.5642
-3.6		45		-4.5641
-3.5		48		-4.5641
-3.4		51		-4.5641
-3.3		54		-4.5641
-3.2		57		-4.5641
-3.1		61		-4.5641
-3		65		-4.5641
-2.9		69		-4.5641
-2.8		74		-4.5641
-2.7		79		-4.5641
-2.6		85		-4.5641
-2.5		93		-4.5641
-2.4		131		3.432
-2.3		144		3.432
-2.2		151		3.432
-2.1		155		3.432
-2		160		3.432
-1.9		168		-4.5641
-1.8		171		-0.25907
-1.7		174		-0.25907
-1.6		177		-0.25907
-1.5		180		-0.25907
-1.4		183		-0.25907
-1.3		185		-0.25901
-1.2		187		-0.25905
-1.1		189		-0.25906
-1		191		-0.25907
-0.9		193		-0.25907
-0.8		195		-0.25907
-0.7		197		-0.25907
-0.6		198		-0.25897
-0.5		199		-0.25905
-0.4		200		-0.25907
-0.3		201		-0.25907
-0.2		202		-0.25907
-0.1		203		-0.25907
-3.4735e-06		204		-0.25906
0.099997		205		-0.25903
0.2		206		-0.25898
0.3		208		-0.25907
0.4		210		-0.25907
0.5		212		-0.25907
0.6		214		-0.25907
0.7		216		-0.25907
0.8		218		-0.25907
0.9		220		-0.25907
1		221		-0.25896
1.1		222		-0.25907
1.2		224		-0.25907
1.3		226		-0.25907
1.4		228		-0.25906
1.5		230		-0.25901
1.6		233		-0.25907
1.7		236		-0.25907
1.8		240		-0.25907
1.9		245		3.432
2		249		-4.5641
2.1		253		-4.5641
2.2		259		-4.5641
2.3		286		3.432
2.4		296		3.432
2.5		303		3.432
2.6		309		3.432
2.7		314		3.432
2.8		318		3.432
2.9		321		3.432
3		324		3.432
3.1		327		3.432
3.2		329		3.432
3.3		331		3.432
3.4		332		3.432
3.5		333		3.432
3.6		335		3.432
3.7		337		3.432
3.8		339		3.432
3.9		342		3.432
4		345		3.432
4.1		348		3.432
4.2		351		3.432
4.3		354		3.432
4.4		358		3.432
4.5		362		3.432
4.6		366		3.432
4.7		370		3.432
4.8		374		3.432
4.9		378		3.432
5		382		3.432
